id,codigo,nombres,apellidos,email,estado,institucionid,departamentoid,usuarioid
1,43200176,Thierry,Henry,thierry.henry@unmsm.edu.pe,1,1,1,NULL
2,43200237,Ian,Wright,ian.wright@unmsm.edu.pe,1,1,1,NULL
3,43200109,Aaron,Ramsdale,aaron.ramsdale@unmsm.edu.pe,1,1,1,NULL
4,43200056,"Robin ","Van Persie","robin.van persie@unmsm.edu.pe",1,1,1,NULL
5,43200076,David,Raya,david.raya@unmsm.edu.pe,1,1,1,NULL
6,43200282,Karl,Hein,karl.hein@unmsm.edu.pe,1,1,1,NULL
7,43200077,William,Saliba,william.saliba@unmsm.edu.pe,1,1,1,NULL
8,43200265,Ben,White,ben.white@unmsm.edu.pe,1,1,1,NULL
9,43200082,Jimmy,Brain,jimmy.brain@unmsm.edu.pe,1,1,1,NULL
10,43200299,Gabriel,Magalhães,gabriel.magalhães@unmsm.edu.pe,1,1,1,NULL
11,43200259,Jurrien,Timber,jurrien.timber@unmsm.edu.pe,1,1,1,NULL
12,43200087,Jakob,Kiwior,jakob.kiwior@unmsm.edu.pe,1,1,1,NULL
13,43200291,John,Radford,john.radford@unmsm.edu.pe,1,1,1,NULL
14,43200289,Lee,Dixon,lee.dixon@unmsm.edu.pe,1,1,1,NULL
15,43200097,Cédric,Soares,cédric.soares@unmsm.edu.pe,1,1,1,NULL
16,43200099,Peter,Storey,peter.storey@unmsm.edu.pe,1,1,1,NULL
17,43200296,"Takehiro	",Tomiyasu,"takehiro	.tomiyasu@unmsm.edu.pe",1,1,1,NULL
18,43200297,Oleksandr,Zinchenko,oleksandr.zinchenko@unmsm.edu.pe,1,1,1,NULL
19,43200248,Gabriel,Jesus,gabriel.jesus@unmsm.edu.pe,1,1,1,NULL
20,43200250,George,Armstrong,george.armstrong@unmsm.edu.pe,1,1,1,NULL
21,34100075,David,Jack,david.jack@unmsm.edu.pe,1,1,1,NULL
22,34100259,Emile,"Smith Rowe","emile.smith rowe@unmsm.edu.pe",1,1,1,NULL
23,34100261,Gabriel,Martinelli,gabriel.martinelli@unmsm.edu.pe,1,1,1,NULL
24,34100258,Eddie,Nketiah,eddie.nketiah@unmsm.edu.pe,1,1,1,NULL
25,34100282,Leandro,Trossard,leandro.trossard@unmsm.edu.pe,1,1,1,NULL
26,34100326,Reiss,Nelson,reiss.nelson@unmsm.edu.pe,1,1,1,NULL
27,34100283,Kai,Havertz,kai.havertz@unmsm.edu.pe,1,1,1,NULL
28,34100288,Craig,Holloway,craig.holloway@unmsm.edu.pe,1,1,1,NULL
29,34100290,David,Seaman,david.seaman@unmsm.edu.pe,1,1,1,NULL
30,34100292,Bukayo,Saka,bukayo.saka@unmsm.edu.pe,1,1,1,NULL
31,34100295,Rami,Shaaban,rami.shaaban@unmsm.edu.pe,1,1,1,NULL
32,34100271,Stuart,Taylor,stuart.taylor@unmsm.edu.pe,1,1,1,NULL
33,34100118,Guillaume,Warmuz,guillaume.warmuz@unmsm.edu.pe,1,1,1,NULL
34,34100106,Sol,Campbell,sol.campbell@unmsm.edu.pe,1,1,1,NULL
35,34100250,Cliff,Bastin,cliff.bastin@unmsm.edu.pe,1,1,1,NULL
36,34100020,Arthur,Okonkwo,arthur.okonkwo@unmsm.edu.pe,1,1,1,NULL
37,34100021,Mauro,Bandeira,mauro.bandeira@unmsm.edu.pe,1,1,1,NULL
38,34100022,Mika,Biereth,mika.biereth@unmsm.edu.pe,1,1,1,NULL
39,34100252,Peter,Simpson,peter.simpson@unmsm.edu.pe,1,1,1,NULL
40,34100244,Nuno,Tavares,nuno.tavares@unmsm.edu.pe,1,1,1,NULL
41,52100273,Albert,"Sambi Lokonga",albert.sambilokonga@unmsm.edu.pe,1,1,1,NULL
42,52100226,Kieran,Tierney,kieran.tierney@unmsm.edu.pe,1,1,1,NULL
43,52100237,Pat,Rice,pat.rice@unmsm.edu.pe,1,1,1,NULL
44,52100302,"Runar Alex",Runarsson,runaralex.runarsson@unmsm.edu.pe,1,1,1,NULL
45,52100021,Marquinhos,Oliveira,marquinhos.oliveira@unmsm.edu.pe,1,1,1,NULL
46,52100130,Ashley,Cole,ashley.cole@unmsm.edu.pe,1,1,1,NULL
47,52100278,Thomas,Partey,thomas.partey@unmsm.edu.pe,1,1,1,NULL
48,52170172,Pascal,Cygan,pascal.cygan@unmsm.edu.pe,1,1,1,NULL
49,52100285,Lauren,"Etame Mayer",lauren.etamemayer@unmsm.edu.pe,1,1,1,NULL
50,52100243,Ryan,Garry,ryan.garry@unmsm.edu.pe,1,1,1,NULL
51,52100019,Justin,Hoyte,justin.hoyte@unmsm.edu.pe,1,1,1,NULL
52,52100026,Declan,Rice,declan.rice@unmsm.edu.pe,1,1,1,NULL
53,52100075,Mohamed,Elneny,mohamed.elneny@unmsm.edu.pe,1,1,1,NULL
54,52170079,Juan,.,juan@unmsm.edu.pe,1,1,1,NULL
55,52100138,John,Radford,john.radford@unmsm.edu.pe,1,1,1,NULL
56,52100264,Oleg,Luzhniy,oleg.luzhniy@unmsm.edu.pe,1,1,1,NULL
57,52100027,Martin,Keown,martin.keown@unmsm.edu.pe,1,1,1,NULL
58,52100220,Igors,Stepanovs,igors.stepanovs@unmsm.edu.pe,1,1,1,NULL
59,52100265,Stathis,Tavlaridis,stathis.tavlaridis@unmsm.edu.pe,1,1,1,NULL
60,52100224,Fabio,Vieira,fabio.vieira@unmsm.edu.pe,1,1,1,NULL
61,52100288,Kolo,Touré,kolo.toure@unmsm.edu.pe,1,1,1,NULL
62,52100261,Giovanni,"Van Bronckhorst",giovanni.vanbronckhorst@unmsm.edu.pe,1,1,1,NULL
63,52100275,David,Bentley,david.bentley@unmsm.edu.pe,1,1,1,NULL
64,52100269,Edu,Gaspar,edu.gaspar@unmsm.edu.pe,1,1,1,NULL
65,52100234,Gilberto,Silva,gilberto.silva@unmsm.edu.pe,1,1,1,NULL
66,52100292,Martin,Odegaard,martin.odegaard@unmsm.edu.pe,1,1,1,NULL
67,52100215,Ingi,Hojsted,ingi.hojsted@unmsm.edu.pe,1,1,1,NULL
68,52100195,Freddie,Ljungberg,freddie.ljungberg@unmsm.edu.pe,1,1,1,NULL
69,52100236,Ray,Parlour,ray.parlour@unmsm.edu.pe,1,1,1,NULL
70,70000214,Jermaine,Pennant,jermaine.pennant@unmsm.edu.pe,1,1,1,NULL
71,70000218,Robert,Pirés,robert.pires@unmsm.edu.pe,1,1,1,NULL
72,70000065,Catalin,Cirjan,catalin.cirjan@unmsm.edu.pe,1,1,1,NULL
73,70000070,Ted,Drake,ted.drake@unmsm.edu.pe,1,1,1,NULL
74,70000297,David,O'Leary,david.oleary@unmsm.edu.pe,1,1,1,NULL
75,70000069,Sebastian,Svard,sebastian.svard@unmsm.edu.pe,1,1,1,NULL
76,70000072,Jerome,Thomas,jerome.thomas@unmsm.edu.pe,1,1,1,NULL
77,70000320,Patrick,Vieira,patrick.vieira@unmsm.edu.pe,1,1,1,NULL
78,70000252,Jorginho,.,jorginho@unmsm.edu.pe,1,1,1,NULL
79,70000309,Jérémie,Aliadiére,jérémie.aliadiére@unmsm.edu.pe,1,1,1,NULL
80,70000257,Dennis,Bergkamp,dennis.bergkamp@unmsm.edu.pe,1,1,1,NULL
81,70000275,Francis,Jeffers,francis.jeffers@unmsm.edu.pe,1,1,1,NULL
82,70000253,David,Seaman,david.seaman@unmsm.edu.pe,1,1,1,NULL
83,70000308,Nwankwo,Kanu,nwankwo.kanu@unmsm.edu.pe,1,1,1,NULL
84,70000083,Doug,Lishman,doug.lishman@unmsm.edu.pe,1,1,1,NULL
85,70000113,Sylvain,Wiltord,sylvain.wiltord@unmsm.edu.pe,1,1,1,NULL
86,70000084,Jens,Lehmann,jens.lehmann@unmsm.edu.pe,1,1,1,NULL
87,70000277,Manuel,Almunia,manuel.almunia@unmsm.edu.pe,1,1,1,NULL
88,70000088,Stuart,Taylor,stuart.taylor@unmsm.edu.pe,1,1,1,NULL
89,70000090,Chris,Wright,chris.wright@unmsm.edu.pe,1,1,1,NULL
90,70000274,Gael,Clichy,gael.clichy@unmsm.edu.pe,1,1,1,NULL
91,61000092,Johan,Djourou,johan.djourou@unmsm.edu.pe,1,1,1,NULL
92,61000315,Emmanuel,Eboué,emmanuel.eboue@unmsm.edu.pe,1,1,1,NULL
93,61000247,Justin,Hoyte,justin.hoyte@unmsm.edu.pe,1,1,1,NULL
94,61000094,Philippe,Senderos,philippe.senderos@unmsm.edu.pe,1,1,1,NULL
95,61000095,Frank,Simek,frank.simek@unmsm.edu.pe,1,1,1,NULL
96,61000287,Cesc,Fabregas,cesc.fabregas@unmsm.edu.pe,1,1,1,NULL
97,61000098,Nigel,Winterburn,nigel.winterburn@unmsm.edu.pe,1,1,1,NULL
98,61000100,Patrick,Cregg,patrick.cregg@unmsm.edu.pe,1,1,1,NULL
99,61000101,Joe,Hulme,joe.hulme@unmsm.edu.pe,1,1,1,NULL
100,61000116,Mathieu,Flamini,mathieu.flamini@unmsm.edu.pe,1,1,1,NULL
101,61000251,Gilberto,Silva,gilberto.silva@unmsm.edu.pe,1,1,1,NULL
102,61000105,Tony,Adams,tony.adams@unmsm.edu.pe,1,1,1,NULL
103,61000268,Danny,Karbassiyoon,danny.karbassiyoon@unmsm.edu.pe,1,1,1,NULL
104,61000311,Sebastian,Larsson,sebastian.larsson@unmsm.edu.pe,1,1,1,NULL
105,61000107,Ryan,Smith,ryan.smith@unmsm.edu.pe,1,1,1,NULL
106,61000256,Arturo,Lupoli,arturo.lupoli@unmsm.edu.pe,1,1,1,NULL
107,61000108,Quincy,Owusu-Abeyie,quincy.owusu-abeyie@unmsm.edu.pe,1,1,1,NULL
108,61000260,.,Reyes,..reyes@unmsm.edu.pe,1,1,1,NULL
109,61000248,Edu,Gaspar,edu.gaspar@unmsm.edu.pe,1,1,1,NULL
110,61000114,Michael,Jordan,michael.jordan@unmsm.edu.pe,1,1,1,NULL
